SPECIES,LONG_WGS84,LAT_WGS84,LONGITUDE,LATITUDE,ELEVATION,BIO01,BIO02,BIO03,BIO04,BIO05,BIO06,BIO07,BIO08,BIO09,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
Microtus californicus,-122.635446,40.664469,-122.635446,40.664469,437,1416,1632,46,68150,3570.399902,24.150002,3546.25,572,2320,2320,572,106301.5,18943.15039,149.975006,77,53944.625,2609.425049,2609,53945
Microtus californicus,-122.6853,37.9094,-122.6853,37.9094,16,1245,884,62,19058,1935.775024,526.25,1409.525024,972,1427,1460,972,62361.17578,14827.60059,28.450001,94,37836.10156,779.450012,1290,37836
Microtus californicus,-122.398523,41.602448,-122.398523,41.602448,813,1106,1643,45,69389,3224.149902,-393.25,3617.399902,247,1996,2027,247,50249.89844,8174.5,685.025024,60,22797.02539,3605.75,4196,22797
Microtus californicus,-119.8218,36.8838,-119.8218,36.8838,110,1685,1660,46,67482,3771.225098,183.024994,3588.200195,1003,2573,2573,842,29735.65039,6176.350098,24.625,90,17204.34961,335.575012,336,16222
Microtus californicus,-119.7017,36.8252,-119.7017,36.8252,113,1692,1640,45,67438,3755.25,185.550003,3569.699951,1011,2581,2581,849,29475.65039,6125.825195,26.949999,89,17023.57422,415.299988,415,15934
Microtus californicus,-121.32522,38.214641,-121.32522,38.214641,8,1540,1480,48,54656,3299.324951,257.375,3041.949951,827,2228,2228,827,40187.07422,8485.799805,14,89,22691.5,447.049988,447,22692
Microtus californicus,-121.787167,39.191667,-121.787167,39.191667,63,1623,1478,45,61716,3547.675049,278.774994,3268.900146,839,2430,2430,839,51748.42578,10532.40039,18.325001,88,29266.72656,791.899963,792,29267
Microtus californicus,-121.810728,39.228243,-121.810728,39.228243,271,1541,1499,44,61667,3554.024902,151.525009,3402.5,790,2365,2365,790,62524.125,12990.9502,18.1,89,35564.82422,879.375,879,35565
Microtus californicus,-121.90591,39.18758,-121.90591,39.18758,16,1612,1500,45,61440,3559.725098,253.25,3306.475098,827,2413,2413,827,41262.44922,8497.299805,16.1,89,23674.57422,681.399963,681,23675
Microtus californicus,-121.717887,38.829168,-121.717887,38.829168,8,1608,1547,47,59529,3532.399902,285.350006,3247.049805,835,2361,2361,835,42686.09766,9103.349609,14.65,92,25079.82422,491.100006,491,25080
Microtus californicus,-121.773333,39.688667,-121.773333,39.688667,65,1620,1579,46,64180,3634.949951,208.524994,3426.425049,811,2463,2463,811,65309.39844,13081.09961,53.425003,87,36584.22656,1141.800049,1142,36584
Microtus californicus,-122.240262,38.886353,-122.240262,38.886353,130,1559,1630,48,60680,3548.774902,169.125,3379.649902,798,2357,2357,798,47967.57422,10046.2002,24.049999,93,28789,660.200012,660,28789
Microtus californicus,-121.913042,37.881695,-121.913042,37.881695,993,1307,762,31,59039,2688.700195,306.25,2382.450195,656,2086,2131,656,63504.82422,12970.84961,21.775,88,35420.77344,667.550049,1417,35421
Microtus californicus,-124.2623,40.5807,-124.2623,40.5807,12,1187,851,60,21341,1881.675049,464.699982,1416.975098,902,1449,1449,902,108916.7969,20003.25,382.600006,78,56226,3689.574951,3690,56226
Microtus californicus,-120.838802,39.205933,-120.838802,39.205933,987,1262,1536,46,61290,3155.850098,-114.900002,3270.75,604,2076,2087,528,133539.2813,25559.75,166.824997,84,72111.625,2337.050049,2528,70976
Microtus californicus,-117.12959,32.55743,-117.12959,32.55743,0,1559,830,50,27515,2277.699951,630.074951,1647.625,1215,1896,1932,1215,22728.47461,4924.149902,34.075001,92,13261.25,277.125,559,13261
Microtus californicus,-118.289486,36.78326,-118.289486,36.78326,1834,1076,1404,42,67228,2892.824951,-429.799988,3322.625,259,1705,1980,259,23711.42383,4579.424805,729.174988,71,12404.32422,2329.524902,3006,12404
Microtus californicus,-122.915277,38.372337,-122.915277,38.372337,69,1323,1450,61,34487,2601.574951,253,2348.574951,858,1717,1729,858,116840,26572.32422,70.599998,94,69320.27344,1038.875,1653,69320
Microtus californicus,-123.01256,38.50417,-123.01256,38.50417,166,1364,1279,55,36610,2718.199951,409.450012,2308.75,876,1793,1814,876,133018.5,29735.19922,67.5,95,79439.97656,973.725037,1780,79440
Microtus californicus,-123.527576,38.766723,-123.527576,38.766723,70,1140,935,65,18448,1820.699951,385.149994,1435.549927,889,1351,1367,889,103360.2266,21687.02539,88.775002,88,58249.27344,1334.349976,2177,58249
Microtus californicus,-123.799569,39.306566,-123.799569,39.306566,22,1126,989,66,18920,1861,374.75,1486.25,875,1350,1362,875,100348.75,20179.375,191.300003,84,54644.54688,1984.400024,2198,54645
Microtus californicus,-123.15104,39.51602,-123.15104,39.51602,593,1271,1607,49,56950,3280.225098,41.974998,3238.25,591,2012,2048,591,136283.25,28535.875,121.350006,91,78610.625,1930.400024,2677,78611
Microtus californicus,-123.355002,39.5073,-123.355002,39.5073,724,1243,1323,46,50559,2911.175049,88.25,2822.925049,659,1896,1945,659,152473.875,31904.625,130.574997,90,87436.32813,2074.174805,2552,87436
Microtus californicus,-117.076763,33.11888,-117.076763,33.11888,204,1642,1605,55,43308,3145.375,274.375,2871,1170,2194,2228,1107,42809.92578,9063.150391,71,91,24641.15039,524.325012,899,24376
Microtus californicus,-120.635007,38.75449,-120.635007,38.75449,1017,1342,1414,43,64335,3290.675049,12.425,3278.25,651,2212,2212,585,113676.0234,22624.17578,142.449997,84,61764.20313,2189.25,2189,61693
Microtus californicus,-117.27198,34.02053,-117.27198,34.02053,417,1707,1672,54,48236,3445.574951,352.625,3092.949951,1189,2338,2374,1131,34891.125,6997.125,107.75,85,19720.94922,852.700012,1395,18568
Microtus californicus,-122.186478,37.45587,-122.186478,37.45587,22,1416,1256,57,34552,2603.899902,404.200012,2199.699951,954,1829,1834,954,39133.85156,8669.125,25.299999,94,23177.65039,414.875,978,23178
Microtus californicus,-123.799858,39.443515,-123.799858,39.443515,35,1129,968,67,18253,1843.550049,402,1441.550049,884,1341,1349,884,96214.10156,19361,187.625,84,52539.19922,1869.025024,2106,52539
Microtus californicus,-123.052824,38.45349,-123.052824,38.45349,19,1299,1308,64,28136,2360.050049,319.800018,2040.25,910,1611,1630,910,119808.25,27435.29883,69.525002,94,70852.54688,1169.474976,1662,70853
Microtus californicus,-118.095156,36.59723,-118.095156,36.59723,1328,1406,1602,42,74604,3450.575195,-301.274994,3751.850098,467,2397,2397,467,17193.04883,4719.924805,237.275009,89,9849.974609,1185.099976,1185,9850
