SPECIES,LONG_WGS84,LAT_WGS84,presAbs,LONGITUDE,LATITUDE,ELEVATION,BIO01,BIO02,BIO03,BIO04,BIO05,BIO06,BIO07,BIO08,BIO09,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
Microtus californicus,-118.2262,36.092861,Absence,-118.2262,36.092861,2364,611,1388,44,56541,2348.200195,-739.5499878,3087.750244,-48,1384,1384,-48,43049.375,9934.900391,214.1750031,99,27327.77344,992.8499756,993,27328
Microtus californicus,-118.30169,36.229654,Absence,-118.30169,36.229654,1984,732,1424,44,60442,2519.324951,-673.5999756,3192.924805,18,1552,1552,18,56763.17578,12857.47559,235.6750031,97,35028.42578,1261.125,1261,35028
Microtus californicus,-118.581,36.7938,Absence,-118.581,36.7938,1529,1037,1571,47,61876,2867.375,-410.9750061,3278.350098,424,1885,1905,337,89885.875,18535.17578,368.0750122,86,50438.92578,1981.625,2309,48660
Microtus californicus,-118.13,36.2541,Absence,-118.13,36.2541,3005,320,1244,42,55555,1901.900024,-995.1749878,2897.074951,-307,1097,1097,-307,50048.77734,10956.15039,397.9249878,98,31050.75,1367.550049,1368,31051
Microtus californicus,-118.128635,36.47914,Absence,-118.128635,36.47914,2997,343,1256,42,56671,1910.574951,-1016.224976,2926.799805,-287,1130,1130,-294,39675.72656,8438.700195,780.25,77,20883.5,2857.149902,2857,20807
Microtus californicus,-118.6221592,35.5305856,Absence,-118.6221592,35.5305856,787,1673,1472,41,69420,3662.324951,115.5,3546.824951,957,2600,2600,842,40433.27734,7737.424805,54.125,84,22113.65039,715.2750244,715,20082
Microtus californicus,-119.4641,36.7166,Presence,-119.4641,36.7166,118,1704,1705,46,67464,3819.399902,180.0750122,3639.324951,1021,2591,2591,859,30058.90039,6256.25,31.22500038,89,17222.90039,396.0749817,396,16181
Microtus californicus,-118.3310457,36.77438267,Absence,-118.3310457,36.77438267,2732,387,1504,46,59979,2116.975098,-1127.525024,3244.5,-288,1207,1207,-307,60239.52734,12282.375,653.7000122,83,32601.27539,2785.25,2785,31985
Microtus californicus,-118.328,35.942,Absence,-118.328,35.942,2755,531,1133,40,56413,2095.824951,-726.875,2822.699951,-91,1324,1324,-91,72493.85156,16671.22461,366.9500122,101,46965.39844,1447.75,1448,46965
Microtus californicus,-118.22947,35.96474,Absence,-118.22947,35.96474,1860,942,1511,43,65282,2867.699951,-587.4500122,3455.149902,229,1822,1822,153,33027.90234,8848.325195,166.3499908,99,20330.40039,937.7249756,938,19116
Microtus californicus,-118.29175,35.830658,Absence,-118.29175,35.830658,2147,818,1158,39,62170,2553.675049,-408.6000061,2962.275146,150,1664,1664,98,72724.17188,14734.5498,242.8999939,90,41918.875,1638,1638,40654
Microtus californicus,-118.31,35.7412,Presence,-118.31,35.7412,1261,1397,1296,40,68387,3266.449951,28.89999962,3237.550049,659,2309,2309,579,45998.47656,9100.525391,265.7999878,89,26429.07422,1295.900024,1296,24765
Microtus californicus,-118.28948,35.666083,Presence,-118.28948,35.666083,809,1634,1642,44,71010,3663.224854,-50.75,3713.974854,909,2589,2589,782,27730.84961,7590.575195,117.5250015,102,17472.52539,502.5500183,503,16914
Microtus californicus,-118.2671,36.434131,Absence,-118.2671,36.434131,2969,161,1695,49,58499,1997.074951,-1417.800049,3414.875,-524,948,961,-524,53098.625,11822.1748,233.1500092,101,33547.5,1229.900024,1233,33548
Microtus californicus,-119.881282,37.588966,Presence,-119.881282,37.588966,1067.79,1296,1629,48,60334,3236.725098,-135.0749969,3371.800049,654,2113,2113,583,101896.9766,22099.90039,94.32500458,92,59927.5,1277.824951,1278,57948
