"SPECIES","LONG_WGS84","LAT_WGS84","LONGITUDE","LATITUDE","ELEVATION","BIO01","BIO02","BIO03","BIO04","BIO05","BIO06","BIO07","BIO08","BIO09","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19"
"Microtus longicaudus",-119.67,42.54,-119.67,42.54,1756,681,1469,43,66506,2740.850098,-672.868774,3413.71875,506,1570,1582,-95,32272.01953,4414.9375,1095.53125,37,11981.54395,4132.762695,4723,7770
"Microtus longicaudus",-114.7764,43.8936,-114.7764,43.8936,2232,184,1719,42,78215,2451.056152,-1563.425049,4014.481201,-711,1169,1202,-795,62775.08594,9960.78125,1924.675049,45,24870.16211,7253,8274,24824
"Microtus longicaudus",-114.8846,44.1462,-114.8846,44.1462,2029,235,1785,42,82330,2576.787598,-1642.025024,4218.8125,-723,1236,1287,-840,50827.24219,8019.975098,1756.012451,42,20122.19922,6056.049805,6933,19622
"Microtus longicaudus",-106.989177,38.959157,-106.989177,38.959157,2978,120,1722,41,83530,2271.0625,-1891.71875,4162.78125,-802,1192,1192,-954,83559.71875,9344.712891,3005.043701,28,26835.76953,13350.58789,13351,26539
"Microtus longicaudus",-119.89,39.16,-119.89,39.16,2668,412,1201,40,61741,2079.693848,-850.1875,2929.881348,-270,1256,1262,-270,86811.96875,15120.2627,811.1875,71,42107,3711.0625,4640,42107
"Microtus longicaudus",-105.45,36.17,-105.45,36.17,2898,417,1445,41,70559,2265.806152,-1184.793701,3450.599854,1276,-37,1350,-464,70963.1875,10641.33789,4127.268555,33,25500.50781,14121.83789,24886,14897
"Microtus longicaudus",-119.165722,38.109578,-119.165722,38.109578,2540,474,1565,46,65350,2371.850098,-1002.068726,3373.918945,-293,1350,1350,-293,44251.99609,7347.625,1142.712524,63,20878.44922,3998.856445,3999,20878
"Microtus longicaudus",-119.183476,38.109579,-119.183476,38.109579,2378,543,1680,47,65757,2511,-1043.224976,3554.225098,-221,1425,1425,-221,46019.96875,7936.224609,1030.456299,66,22220.96289,3849.618652,3850,22221
"Microtus longicaudus",-119.183438,38.139122,-119.183438,38.139122,2284,557,1772,48,66617,2582.293701,-1070.875,3653.168701,-225,1452,1452,-225,41320.49609,7241.887695,948.512512,65,19951.99414,3780,3780,19952
"Microtus longicaudus",-119.076307,38.272332,-119.076307,38.272332,2744,353,1585,46,63772,2292.481201,-1084.1875,3376.668701,-378,1219,1219,-378,48758.30469,7517.043945,1428.775024,58,21898.15039,4842.725098,4843,21898
"Microtus longicaudus",-121.2282,47.6988,-121.2282,47.6988,960,547,845,34,55182,1978.568726,-454.487488,2433.056152,-69,1269,1288,-118,212599.9063,34296.82031,4024.550049,59,97961.0625,16804.01953,17740,90673
"Microtus longicaudus",-105.55,40.21,-105.55,40.21,2612,466,1367,40,70827,2419.800049,-943.431274,3363.231445,322,-385,1427,-385,61046.28125,8041.96875,3570.737549,26,21141.21875,11461.1875,15252,11461
"Microtus longicaudus",-105.53,40.27,-105.53,40.27,2764,418,1299,38,72230,2348.612549,-1006.15625,3354.768799,260,-446,1396,-446,67458.16406,8735.09375,4144.575195,25,23072.83203,12971,17112,12971
"Microtus longicaudus",-122.503866,47.416794,-122.503866,47.416794,126,1074,871,39,47332,2388.625,197.850006,2190.774902,548,1704,1704,513,129331.8906,21812.51172,2340.274902,62,60684.52344,9161.487305,9161,54677
"Microtus longicaudus",-118.597628,37.235882,-118.597628,37.235882,2591,570,1373,43,62623,2298.206299,-836.193726,3134.399902,-107,1421,1421,-146,36840.42578,6090.131348,880.018738,60,17111.76172,3431.418701,3431,16704
"Microtus longicaudus",-121.9071,45.8711,-121.9071,45.8711,698,837,948,36,58243,2402.606201,-214.681244,2617.287354,176,1594,1615,132,259703.6406,45806.94922,2093.462402,71,129029.3594,12027.8877,13566,122492
"Microtus longicaudus",-122.0101,45.8858,-122.0101,45.8858,501,833,1175,40,60101,2595.9375,-291.256256,2887.193848,146,1612,1616,88,248249.8594,44525.75,1844.112549,72,124637.9688,11187.20605,13012,117898
"Microtus longicaudus",-120.1397,41.2178,-120.1397,41.2178,2528,354,1235,39,65485,2223.824951,-898.6875,3122.512451,-384,1253,1253,-384,78940.55469,13009.9375,1070.081299,59,33871.61719,3874.399902,3874,33872
"Microtus longicaudus",-114.17475,41.52333,-114.17475,41.52333,1608,784,1666,39,87023,3191.25,-1039.081299,4230.331055,1172,1874,1945,-302,27121.10547,3657.856445,1911.6875,20,8483.643555,5898.431152,6390,6131
"Microtus longicaudus",-123.4563,43.0146,-123.4563,43.0146,482,1161,1241,44,55687,2807.424805,44.125,2763.299805,529,1906,1907,507,108110.4375,20076.46875,838.243774,72,54496.16406,4570.418945,5477,50038
"Microtus longicaudus",-121.585,45.3392,-121.585,45.3392,1150,609,944,35,60851,2212.818848,-442.71875,2655.537598,-66,1437,1437,-115,195980.8281,33076.50781,2133.524902,64,94153.6875,11606.89453,11607,86181
"Microtus longicaudus",-121.800465,46.428742,-121.800465,46.428742,722,771,974,37,57423,2344.4375,-257.231262,2601.668701,139,1553,1553,91,176126.6563,29160.38672,2848.237549,63,85137.23438,12911.90625,12912,77246
