SPECIES,LONG_WGS84,LAT_WGS84
Otospermophilus beecheyi,-121.798483,37.396947
Otospermophilus beecheyi,-121.8222,37.3953
Otospermophilus beecheyi,-121.8156,37.3908
Otospermophilus beecheyi,-120.837391,40.565397
Otospermophilus beecheyi,-122.20359,40.15637
Otospermophilus beecheyi,-121.52627,40.56756
Otospermophilus beecheyi,-118.30978,36.79992
Otospermophilus beecheyi,-120.83303,39.19779
Otospermophilus beecheyi,-120.70854,39.27453
Otospermophilus beecheyi,-120.71323,39.25473
Otospermophilus beecheyi,-120.75351,39.23901
Otospermophilus beecheyi,-120.7522,39.24922
Otospermophilus beecheyi,-120.309225,39.447115
Otospermophilus beecheyi,-120.469573,35.508212
Otospermophilus beecheyi,-120.54657,39.303296
Otospermophilus beecheyi,-120.549161,39.319381
Otospermophilus beecheyi,-118.31315,35.44219
Otospermophilus beecheyi,-118.11576,36.59138
Otospermophilus beecheyi,-118.06504,36.61555
Otospermophilus beecheyi,-118.29751,36.78698
Otospermophilus variegatus,-103.93,30.596
Otospermophilus variegatus,-109.1789,31.8828
Otospermophilus variegatus,-109.1709,31.888
Otospermophilus variegatus,-109.2839,31.915
Otospermophilus variegatus,-111.84778,40.765
Otospermophilus variegatus,-111.851,40.845
Otospermophilus variegatus,-111.88,40.88944
Otospermophilus variegatus,-111.8785,41.0001
Otospermophilus variegatus,-112.48288,37.43883
Otospermophilus variegatus,-111.05865,38.09955
Otospermophilus variegatus,-111.41139,40.6925
Otospermophilus variegatus,-109.35823,37.70748
Otospermophilus variegatus,-105.035575,37.98749
Otospermophilus variegatus,-112.63951,38.27545
Otospermophilus variegatus,-110.81,39.59944
Otospermophilus variegatus,-107.09,39.67
Otospermophilus variegatus,-109.4,37.75
Otospermophilus variegatus,-109.14,31.88
Otospermophilus variegatus,-109.15,31.9
Otospermophilus variegatus,-106.126106,35.474445
Otospermophilus variegatus,-116.22761,37.15365
Otospermophilus variegatus,-106.688294,34.129478
Otospermophilus variegatus,-115.898735,35.768892
Otospermophilus variegatus,-109.3306,33.3811
Otospermophilus variegatus,-106.726809,31.843445
Otospermophilus variegatus,-105.723053,33.422501
Otospermophilus variegatus,-107.088093,34.324979
Otospermophilus variegatus,-109.1881,31.8617
Otospermophilus variegatus,-109.1881,31.8675
Otospermophilus variegatus,-109.2274,31.903
Otospermophilus variegatus,-105.594548,36.718392
Otospermophilus variegatus,-110.28,31.43
Otospermophilus variegatus,-110.28,31.44
Otospermophilus variegatus,-109.23,31.87
Otospermophilus variegatus,-107.361222,34.050195
Otospermophilus variegatus,-106.090553,34.259167
Otospermophilus variegatus,-111.98,41.49
Otospermophilus variegatus,-111.77,42.19
Otospermophilus variegatus,-111.75,42.21
Otospermophilus variegatus,-112.5195,37.49154
Otospermophilus variegatus,-104.647263,34.938669
Otospermophilus variegatus,-112.13,42.06
Otospermophilus variegatus,-106.866984,33.814504
Otospermophilus variegatus,-106.075011,38.74721
Otospermophilus variegatus,-106.615684,34.306516
Otospermophilus variegatus,-105.217177,35.579379
Otospermophilus variegatus,-104.076339,34.924364
Otospermophilus variegatus,-106.613816,34.304801
Otospermophilus variegatus,-109.18,31.88
Otospermophilus variegatus,-109.16,31.88
Otospermophilus variegatus,-109.16,31.89
Otospermophilus variegatus,-107.15,33.991389
Otospermophilus variegatus,-109.2,31.88
Otospermophilus variegatus,-109.6053,34.4753
Otospermophilus variegatus,-107.995522,34.970984
Otospermophilus variegatus,-108.576111,35.583057
Otospermophilus variegatus,-108.15165,35.68904
Otospermophilus variegatus,-108.585284,37.348872
Otospermophilus variegatus,-108.550002,39.063874
Otospermophilus variegatus,-105.651817,32.619317
Otospermophilus variegatus,-107.386816,33.54436
Otospermophilus variegatus,-108.34087,34.030817
Otospermophilus variegatus,-107.184723,34.048332
Otospermophilus variegatus,-106.822553,34.418767
Otospermophilus variegatus,-112.47361,34.45139
Otospermophilus variegatus,-112.375,34.49583
Otospermophilus variegatus,-112.30139,35.25833
Otospermophilus variegatus,-105.595,35.578333
Otospermophilus variegatus,-106.9225,36.3371
Otospermophilus variegatus,-108.802502,39.597482
