presentAbsent,DRAINAGE_DENS,CV_TEMP
0,1.1139,1.55
0,1.1795,1.5705
0,1.9546,1.8234
0,1.7592,1.8695
0,1.8734,1.7764
0,1.7096,0
0,1.7375,1.65
0,1.5886,1.5516
0,2.2309,1.8676
0,1.99,1.6
0,1.8801,1.59
0,1.4464,1.6277
0,1.2014,1.5105
0,2.0908,1.7219
0,2.3717,1.69
0,1.8969,1.4481
0,1.8845,1.6683
0,1.6889,1.94
0,0.5377,1.6832
0,1.7798,1.71
0,1.1877,1.52
0,2.6054,1.6265
0,0.6274,1.66
0,1.2193,1.7383
0,3.2098,1.87
0,1.444,1.68
0,1.1702,1.72
0,1.8135,1.6947
0,1.7744,1.7904
0,1.3575,1.85
0,1.1511,1.6963
0,1.052,1.6036
0,1.8469,1.8463
0,1.4407,1.8088
0,2.1083,1.64
0,1.9772,1.8522
0,16.2344,1.62
0,2.0453,1.8681
0,1.3046,1.71
0,1.615,1.74
0,1.6992,1.5179
0,1.9188,1.6
0,1.5447,1.47
0,3.2015,1.8699
0,0.9799,1.52
0,1.8707,1.6843
0,0.2293,1.81
0,1.823,0
0,2.839,1.7597
0,0.5528,1.9
0,1.642,1.6792
0,2.0248,1.68
0,1.1698,1.8976
0,1.6394,1.8821
0,2.0262,1.9
0,2.0265,1.64
0,0.5912,1.65
0,1.9835,1.68
0,1.9589,1.88
0,0.7588,1.64
0,1.7714,1.6
0,1.1548,1.4831
0,1.7995,1.66
0,2.0445,1.6889
0,2.1088,1.57
0,2.5493,1.671
0,1.5379,1.8833
0,2.0078,1.57
0,1.4027,1.68
0,1.7175,1.8
0,1.1009,1.5922
0,0.0692,1.51
0,3.8174,1.8
0,2.5923,1.7333
0,2.1409,1.83
0,6.1846,1.88
0,0.9249,1.86
0,0.1431,1.8148
0,0.496,1.43
0,0.3695,1.63
0,2.1682,1.6671
0,1.423,1.7573
0,1.9435,1.7407
0,1,1.47
0,1.8012,1.52
0,1.9416,1.7
0,2.1881,1.8375
0,0.74,1.5247
0,1.4633,1.4954
0,1.7295,1.6435
0,0.5284,1.66
0,1.4369,1.72
0,1.4363,1.8252
0,3.549,1.839
0,1.8431,1.5
0,1.8063,1.54
0,1.0726,1.4809
0,1.4597,1.68
0,0.9723,1.7801
0,0.0061,1.7318
0,2.0223,1.58
0,0.9333,1.65
0,1.3158,1.81
0,1.7857,1.67
0,1.6979,1.69
0,2.277,1.66
0,1.8226,1.866
0,1.9575,1.68
0,1.3744,1.71
0,1.2299,1.7362
0,2.0588,1.8893
0,2.8708,1.8911
0,2.6636,1.5067
0,2.196,1.46
0,7.4666,1.8
0,1.8187,1.7488
0,1.7687,1.6706
0,1.4112,1.6725
0,1.3245,1.64
0,1.4971,1.8247
0,1.6122,1.7108
0,1.1976,1.68
0,2.0106,1.5393
0,1.6305,1.57
0,2.6128,1.7051
0,1.7854,1.8295
0,3.8975,1.7901
0,1.3972,1.6145
0,2.1595,1.63
0,1.2585,1.82
0,1.0002,1.6914
0,1.66,1.797
0,1.3492,1.5867
0,1.5394,1.67
0,5.035,1.84
0,1.3211,1.72
0,2.3286,1.6639
0,2.0842,1.6489
0,1.0532,1.62
0,2.0071,1.7556
0,1.9917,1.7
0,1.6501,1.5489
0,0.9853,1.52
0,4.7897,1.8383
0,2.0346,1.74
0,0.0144,1.7599
0,2.0679,1.54
0,2.1412,1.72
0,1.1683,1.81
0,2.1237,1.66
0,1.6283,1.6
0,1.285,1.8
0,1.1188,1.72
0,1.4763,1.4896
0,0.6702,1.8
0,2.1182,1.7029
0,0.9272,1.58
0,2.1616,1.7977
0,1.5486,1.7411
0,1.7204,1.6
0,2.5665,1.5857
0,1.8766,1.64
0,0.6122,1.69
0,2.3755,1.593
0,1.3201,1.5475
0,0.9853,1.47
0,2.3034,1.66
0,0.6682,1.433
0,0.4864,1.7351
0,1.5578,1.61
0,1.4402,1.6391
0,1.2127,1.65
0,1.9651,1.54
0,1.5245,1.51
0,1.2917,1.71
0,1.8358,1.64
0,1.8969,1.66
0,2.1243,1.7373
0,1.8341,1.9211
0,2.4204,1.9391
0,1.9933,1.94
0,4.8798,1.8
0,1.385,1.85
0,1.6044,1.7021
0,0.9973,1.58
0,0.9318,1.78
0,1.4058,1.9002
0,2.3917,1.5
0,1.7858,1.8452
0,1.7353,1.88
0,0.6638,1.73
0,1.5711,1.52
0,1.1381,1.58
0,1.2427,1.6364
0,1.9427,1.5792
0,10.4396,1.82
0,1.2047,1.8217
0,9.1543,1.8
0,1.6857,1.8
0,2.1985,1.6078
0,1.9107,1.73
0,3.9801,1.53
0,0.7857,1.7599
0,2.0823,1.62
0,1.0214,1.66
0,1.3025,1.7159
0,0.4752,1.51
0,0.8494,1.7925
0,1.8565,1.81
0,2.1755,1.7323
0,1.9293,1.7569
0,0.0604,1.76
0,2.5969,1.58
0,1.7902,1.6709
0,2.3986,1.8163
0,2.0464,1.7893
0,1.9152,1.86
0,2.6529,1.7963
0,1.9927,1.64
0,1.3763,1.7369
0,1.8533,1.8059
0,4.0836,1.84
0,1.4076,1.8032
0,1.5346,1.4489
0,1.596,1.66
0,1.8166,1.8458
0,0.8494,1.7086
0,1.7127,1.51
0,2.0709,1.76
0,2.0583,1.52
0,1.6452,1.8575
0,3.3791,1.66
0,2.1311,1.83
0,1.9217,1.65
0,1.9533,1.6138
0,1.3973,1.5146
0,1.0469,1.8398
0,1.8153,1.6164
0,0.8368,1.8409
0,1.1911,1.71
0,1.1671,1.64
0,1.076,1.5457
0,1.5358,1.5
0,3.506,1.7
0,1.8064,1.57
0,1.3133,1.64
0,2.2747,1.62
0,1.9591,1.5212
0,2.4371,1.69
0,2.2139,1.7788
0,2.2419,1.7135
0,2.0737,1.8649
0,1.955,1.65
0,1.7939,1.6598
0,2.8313,1.63
0,2.6678,1.8703
0,1.3033,1.77
0,1.9069,1.7752
0,1.944,1.8217
0,0.3595,1.8027
0,1.9571,1.62
0,1.5303,1.7039
0,1.7993,1.7278
0,1.4755,1.8342
0,1.8172,1.82
0,1.8824,1.5763
0,2.0462,1.68
0,0.2381,1.57
0,2.7318,1.84
0,1.7933,1.93
0,1.423,1.7097
0,0.8758,1.61
0,1.93,1.5361
0,1.5296,1.61
0,0.2623,1.81
0,1.1194,1.6946
0,1.6837,1.72
0,1.0473,1.58
0,1.9167,1.64
0,2.0082,1.8464
0,0.0656,1.76
0,2.0685,1.7137
0,2.0989,1.66
0,1.7244,1.7578
0,1.2865,1.54
0,2.4509,1.6469
0,2.2077,1.8133
0,1.7047,1.7993
0,2.7125,1.8647
0,2.0856,1.62
0,0.7768,1.53
0,1.0067,1.5416
0,2.0177,1.6782
0,1.5201,1.54
0,1.6782,1.6198
0,1.7983,1.59
0,0.6962,1.6564
0,2.9192,1.53
0,0.9929,1.83
0,2.2344,1.74
0,0.464,1.8419
0,1.3069,1.8405
0,3.3464,1.8329
0,2.6929,1.53
0,2.3545,1.7581
0,2.1094,1.8208
0,1.8097,1.65
0,2.0147,1.86
0,1.2311,1.862
0,2.2058,1.74
0,1.8377,1.6402
0,1.8973,1.7675
0,2.4828,1.6
0,1.8876,1.6928
0,3.985,1.63
0,1.0936,1.7478
0,2.235,1.896
0,1.6621,1.8473
0,1.6703,1.538
0,1.9323,1.8526
0,1.7831,1.67
0,1.9067,1.54
0,1.9691,1.77
0,1.8777,1.4844
0,2.0747,1.61
0,1.8021,1.67
0,1.3975,1.78
0,1.5484,1.72
0,1.2346,0
0,1.8289,1.8443
0,0.819,1.69
0,2.4999,1.9374
0,1.693,1.6992
0,1.5976,1.68
0,1.905,1.6574
0,2.0195,1.7849
0,1.9704,1.671
0,2.4361,1.6976
0,1.6894,1.8578
0,1.4913,1.48
0,1.5787,1.8331
0,2.1223,1.7578
0,2.3014,1.76
0,3.1402,1.7
0,2.8287,1.81
0,4.5349,1.57
0,2.4095,1.67
0,1.5033,1.6715
0,1.8472,1.63
0,1.6668,1.69
0,1.9888,1.7593
0,1.6143,1.54
0,2.3659,1.7025
0,2.542,1.7931
0,1.648,1.7213
0,2.3172,1.56
0,3.7724,1.92
0,1.1942,1.6
0,1.7512,1.79
0,0.6427,1.7179
0,2.0301,1.6699
0,2.0168,1.6918
0,0.5436,1.667
0,1.5884,1.66
0,2.4323,1.57
0,1.6192,1.58
0,1.46,1.53
0,1.6694,1.64
0,1.5891,1.52
0,1.8037,1.8859
0,2.2605,1.7398
0,1.6755,1.55
0,0.7287,1.8235
0,1.6788,1.8
0,1.6507,1.8693
0,0.9455,1.6486
0,2.0178,1.76
0,2.516,1.89
0,1.8556,1.78
0,2.8092,1.7697
0,0.7944,1.47
0,1.435,1.7785
0,1.2465,1.61
0,2.4572,1.5807
0,0.7154,1.49
0,1.4696,1.8809
0,3.6354,1.87
0,0.3073,1.5
0,2.333,0
0,1.6059,1.58
0,0.4706,1.73
0,2.3088,1.9237
0,1.7581,1.4902
0,1.8489,1.5899
0,1.2851,1.66
0,2.1873,1.6148
0,15.559,1.86
0,2.0589,1.8021
0,0.361,1.69
0,0.8426,1.81
0,0.7793,1.6203
0,1.4893,1.87
0,2.001,1.5555
0,0.7522,1.68
0,1.9484,1.65
0,2.1021,1.77
0,1.9796,1.64
0,3.251,1.88
0,1.5782,1.49
0,1.3631,1.71
0,1.2068,1.65
0,1.4558,1.87
0,2.3613,1.93
0,1.7741,1.48
0,1.3476,1.85
0,2.5892,1.6591
0,3.9916,1.7
0,1.1542,1.63
0,2.0706,1.89
0,0.954,1.7533
0,1.3738,1.71
0,2.389,1.72
0,1.0386,1.72
0,1.4772,1.8873
0,1.7274,1.7548
0,1.7124,1.4933
0,2.2198,1.8685
0,1.7676,1.75
0,1.2276,1.6829
0,1.4906,1.8484
0,2.4183,1.7562
0,1.926,1.87
0,1.6662,1.59
0,2.1932,1.77
0,0.7075,1.6759
0,1.7544,1.74
0,1.5862,1.69
0,1.4348,1.47
0,2.0546,1.5
0,0.3386,1.82
0,2.4562,1.606
0,1.264,1.67
0,1.6915,1.67
0,1.9526,1.65
0,2.1424,1.4758
0,1.0243,1.58
0,2.6528,1.62
0,1.3036,1.79
0,1.3393,1.65
0,1.7495,1.7389
0,1.9852,1.5611
0,3.4648,1.6919
0,1.4495,1.56
0,1.5021,1.74
0,0.8591,1.68
0,1.8508,1.52
0,1.0236,1.8363
0,3.0535,1.67
0,1.8077,1.6552
0,2.0227,1.6888
0,1.8767,1.7231
0,2.4641,1.67
0,2.0673,1.64
0,1.7566,1.7074
0,1.497,1.6421
0,1.7705,1.74
0,2.129,1.69
0,1.0302,1.8338
0,1.9512,1.61
0,2.2961,1.9201
0,2.3815,1.6554
0,1.722,1.72
0,1.4533,1.9045
0,1.2093,1.8214
0,1.4322,1.7165
0,2.143,1.5954
0,2.2816,1.6179
0,1.4499,1.62
0,2.1719,1.8222
0,0.6251,1.62
0,0.5854,1.7817
0,8.4404,1.8
0,0.954,1.71
0,2.0058,1.9149
0,2.0064,1.7423
0,1.126,1.6
0,2.0199,1.7595
0,1.8372,1.55
0,1.465,1.8295
0,1.5854,1.6653
0,1.7405,1.8248
0,2.1966,1.8052
0,0.5637,1.77
0,2.0292,1.78
0,1.8192,1.7073
0,1.924,1.79
0,1.9472,1.7794
0,1.5574,1.6491
0,1.8713,1.59
0,0.9574,1.86
0,0.5564,1.7705
0,1.2533,1.4595
0,1.1699,1.7418
0,2.4689,1.5394
0,1.7351,1.91
0,3.9373,1.8948
0,1.7107,1.77
0,1.7696,1.7
0,0.894,1.7182
0,1.8169,1.8689
0,2.2625,1.85
0,1.9929,1.916
0,1.902,1.75
0,2.099,1.49
0,1.9059,1.7441
0,8.2373,1.71
0,0.9987,1.4797
0,1.3604,1.63
0,1.8985,1.8
0,1.4719,1.5002
0,4.2589,1.64
0,4.0654,1.7243
0,2.6962,1.7544
0,1.3987,1.77
0,2.901,1.5325
0,2.4306,1.62
0,2.5314,1.83
0,1.3625,1.8035
0,2.2062,1.57
0,0.505,1.79
0,5.0097,1.85
0,2.8425,1.8092
0,1.4245,1.68
0,0.8418,1.8886
0,1.7314,1.6674
0,1.8169,1.8206
0,2.3863,1.56
0,3.0937,1.6707
0,0.4311,1.8129
0,1.8202,1.6508
0,1.9169,1.66
0,2.0151,1.9088
0,2.6094,1.6373
0,1.6989,1.6714
0,1.8744,1.7573
0,1.9323,1.72
0,1.4585,1.7154
0,2.6109,1.84
0,1.867,1.6
0,2.0242,1.7569
0,1.9628,1.8694
0,0.6497,1.6
0,1.8477,1.76
0,1.1864,1.87
0,0.9216,1.7424
0,1.8371,1.6874
0,0.6683,0
0,2.0431,1.8525
0,2.2439,1.86
0,2.0926,1.4308
0,2.0107,1.6497
0,1.2325,1.5556
0,0.6499,1.69
0,0.886,1.8473
0,2.0098,1.6851
0,2.2536,1.82
0,2.0584,1.6928
0,1.6932,1.7064
0,2.0134,1.65
0,2.6575,1.66
0,1.396,1.5801
0,1.4971,1.8538
0,0.4815,1.7
0,15.8419,1.84
0,1.8382,0
0,1.9891,1.65
0,1.9981,1.91
0,1.9572,1.9286
0,0.7357,1.5982
0,1.8771,1.7888
0,1.2934,1.693
0,1.553,1.71
0,1.7464,1.6139
0,2.2364,1.66
0,1.7513,1.66
0,2.1669,1.87
0,1.1357,1.8448
0,0.0269,1.81
0,1.9267,1.6596
0,1.3644,1.84
0,1.8616,1.71
0,3.1734,1.8103
0,1.9965,1.7666
0,1.9272,1.7458
0,0.3597,1.75
0,1.5188,1.7146
0,2.2394,1.6971
0,1.8196,1.7196
0,1.7497,1.7411
0,1.7789,1.65
0,1.6405,1.5206
0,2.2896,1.5728
0,1.0594,1.7721
0,1.5615,1.4793
0,0.4082,1.67
0,0.6731,1.6633
0,2.0498,1.59
0,2.691,1.8399
0,0.9736,1.76
0,1.5821,1.61
0,3.5034,1.86
0,2.1117,1.79
0,0.6705,1.52
0,3.2306,1.61
0,2.8166,1.6631
0,0.4717,1.85
0,2.1487,1.866
0,4.9521,1.81
0,1.0287,1.6232
0,1.9664,1.6
0,2.0683,1.83
0,2.2228,1.55
0,2.1448,1.7408
0,2.8291,1.5569
0,1.8276,1.665
0,1.0398,1.55
0,1.6782,1.79
0,2.007,1.52
