SPECIES,LONG_WGS84,LAT_WGS84,YEAR,BIO01,BIO02,BIO03,BIO04,BIO05,BIO06,BIO07,BIO08,BIO09,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
Callospermophilus lateralis,-106.71,37.55,1973,234,1737,42,79211,2277.637451,-1788.09375,4065.731201,857,595,1265,-780,79914.00781,8834.356445,3056.175049,24,24537.38672,13721.51855,18083,19086
Callospermophilus lateralis,-106.66,37.58,1973,279,1782,43,79388,2354.53125,-1742.081299,4096.612305,911,651,1296,-747,63864.02344,7322.793945,2373.975098,25,19549.40625,10776.93164,15305,14875
Callospermophilus lateralis,-112.83,37.61,1973,157,1120,36,70357,1885.962524,-1177.612549,3063.575195,-576,858,1122,-656,80355.35938,12231.8877,2090.737549,37,29817.01172,11522.10645,14122,24518
Callospermophilus lateralis,-106.67,37.61,1973,323,1493,40,76392,2253.78125,-1445.818726,3699.600098,1264,652,1312,-644,50918.30469,6646.149902,2085.71875,28,16946.20703,8760.700195,14076,11019
Callospermophilus lateralis,-110.4,40.93,1973,150,1670,43,74640,2242.274902,-1573.268799,3815.543701,9,1161,1161,-749,65935.28125,6925.350098,4175.424805,16,20017.9375,12903.53125,12904,15679
Callospermophilus lateralis,-113.7,46.55,1973,537,1153,33,78346,2544.03125,-876.924988,3420.956299,864,1541,1583,-415,61757.17578,7167.756348,3174.962402,23,19619.55078,10861.33105,13507,16602
Callospermophilus lateralis,-118.73,37.45,1973,287,1358,44,60575,1960.768799,-1100.706299,3061.475098,-408,1106,1106,-408,50516.98047,9168.681641,1109.737549,68,24367.21289,3481.962646,3482,24367
Callospermophilus lateralis,-118.189438,37.333269,1973,522,1444,44,65425,2347.5,-917.443726,3264.943848,-194,1405,1405,-245,37194.60547,5458.181152,1797.868774,36,13949.76855,5892.337402,5892,12119
Callospermophilus lateralis,-118.171739,37.500212,1973,100,1407,43,64363,1912.081299,-1308.731201,3220.8125,-462,216,976,-635,36194.11719,5812.71875,1275.550049,41,13971.4375,5527.787598,6883,10896
Callospermophilus lateralis,-113.6293,46.5734,1974,568,1412,38,76899,2704.024902,-949.693787,3653.71875,923,1527,1584,-391,59217.91406,7052.793945,3070.125,23,19003.38672,10734.7002,13257,15568
Callospermophilus lateralis,-113.7082,46.8054,1974,589,1188,34,78160,2602.293701,-827.693726,3429.987305,-294,1590,1635,-362,64601.83203,7097.631348,3377.981201,24,20690.94336,10688.99414,12688,19801
Callospermophilus lateralis,-109.09,33.83,1974,758,1771,50,63161,2598.412598,-908.224976,3506.637695,1542,1035,1596,-18,54368.05078,10652.6123,1771.150024,57,25051.17969,5732.456055,20984,10825
Callospermophilus lateralis,-116.96972,34.21944,1974,761,1487,47,61178,2526.5,-600.887512,3127.387451,121,1585,1585,54,86551.15625,18401.93164,317.368744,85,49934.64063,3754,3754,46214
Callospermophilus lateralis,-117.045605,34.226552,1974,900,1464,46,63163,2683.206299,-439.462494,3122.668701,232,1727,1741,163,80960.28906,17923.10547,404.487488,88,47811.61719,3292.59375,5168,43903
Callospermophilus lateralis,-117.048043,34.221276,1974,910,1418,46,63018,2662.84375,-407.700012,3070.543701,243,1736,1751,176,82435.46875,18591.76953,407.181244,88,48793.77734,3278.912354,5153,44776
Callospermophilus lateralis,-116.768193,34.136315,1974,675,1502,48,60492,2447.425049,-673.918762,3121.34375,35,1252,1492,-23,84979.20313,18173.35547,246.981247,86,48729.84375,3292.787354,4358,46266
Callospermophilus lateralis,-116.952565,34.161644,1974,963,1532,49,58701,2701.824951,-382.174988,3084,341,1751,1751,268,69206.14063,16414.60547,328.131256,87,40885.53125,3086.356201,3086,36536
Callospermophilus lateralis,-110.81,42.63,1974,271,1404,38,78706,2385.418701,-1270.756226,3656.174805,-621,1327,1327,-683,102076.3984,13233.375,3527.612549,35,35639.52344,13217.26855,13217,34739
Callospermophilus lateralis,-120.258629,39.43414,1974,508,1700,49,60605,2513.925049,-943.318726,3457.243652,-223,1307,1307,-223,85818.04688,14105.70605,1217.3125,71,40890.99219,4015.237549,4015,40891
Callospermophilus lateralis,-117.881297,46.0619,1974,578,920,31,68660,2296.5,-591.481262,2887.981201,-178,1515,1515,-227,143563.8125,22759.34961,2435.737549,62,67624.55469,9990.537109,9991,60596
Callospermophilus lateralis,-115.67,36.3,1975,483,1382,43,65546,2242.681152,-933.049988,3175.731201,-265,675,1383,-265,53848.02344,7783.15625,789.799988,45,19049.53125,5539.118652,8990,19050
Callospermophilus lateralis,-121.44,40.24,1975,806,1532,46,61000,2776.337402,-501.174988,3277.512451,97,1614,1625,97,163964.1875,28776.5,457.981262,76,81525.05469,4403.049805,4670,81525
Callospermophilus lateralis,-118.72,44.12,1975,550,1435,39,72993,2663.231201,-940.275024,3603.506348,-282,1509,1521,-337,65131.89453,11245.94336,1241.78125,60,30298.40625,4739.862305,5734,28550
Callospermophilus lateralis,-120.14,44.42,1975,564,1177,38,66164,2410.050049,-661.424988,3071.475098,-166,1463,1463,-213,70707.1875,11108.79395,2005.21875,53,30773.36328,6104.606445,6105,28762
Callospermophilus lateralis,-120.22012,39.443956,1975,543,1758,49,62419,2614.550049,-962.737488,3577.287598,-226,1359,1359,-226,83938.65625,14050.28711,1108.224976,73,41107.94531,3725.274902,3725,41108
Callospermophilus lateralis,-119.92533,39.30213,1975,422,1163,38,65024,2157.375,-838.599976,2995.975098,-299,1313,1313,-299,142816.9844,27982.90039,1359.887451,81,75628.77344,5399.043945,5399,75629
Callospermophilus lateralis,-119.809105,38.554416,1975,417,1217,41,61935,2081.106201,-840.487488,2921.59375,-287,1253,1258,-287,132176.7656,22522.95703,1476.724976,71,64294.35547,6579.381348,6941,64294
Callospermophilus lateralis,-120.22386,39.43159,1975,517,1766,49,62040,2595.1875,-974.174988,3569.362549,-241,1333,1333,-241,84441.51563,14081.73145,1225.331299,73,41033.86719,3935.225098,3935,41034
