"SPECIES","LONG_WGS84","LAT_WGS84","LONGITUDE","LATITUDE","ELEVATION","BIO01","BIO02","BIO03","BIO04","BIO05","BIO06","BIO07","BIO08","BIO09","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19"
"Microtus longicaudus",-118.172242,37.513082,-118.172242,37.513082,3150,96,1441,44,62664,1884.425049,-1373.400024,3257.825195,-453,216,955,-633,35920.60156,5532.75,1255.450073,43,13651.5498,4347.825195,8691,10800
"Microtus longicaudus",-118.156953,37.532774,-118.156953,37.532774,2983,273,1468,43,64865,2116.324951,-1229.75,3346.074951,-297,402,1156,-487,33792.92578,5215.25,1252.675049,42,12730.05078,4262.700195,7927,10249
"Microtus longicaudus",-118.22224,37.59175,-118.22224,37.59175,3647,-156,1050,37,61675,1426.550049,-1396.599976,2823.149902,-721,6,686,-847,41445.94922,5711.625,1357.150024,37,14914.875,6193.625,7135,14022
"Microtus longicaudus",-118.099737,37.432159,-118.099737,37.432159,2601,565,1467,42,66963,2430.049805,-989.275024,3419.324707,-174,669,1478,-234,32938.47656,4678.899902,1156.574951,37,12047.125,4546.475098,7134,10620
"Microtus longicaudus",-122.1056,42.9439,-122.1056,42.9439,1881,409,1338,44,55980,2209.5,-818.875,3028.375,-139,1180,1180,-255,119632.1016,19664.34961,879.474976,66,54515.67188,6335.75,6336,54263
"Microtus longicaudus",-121.7333,46.9669,-121.7333,46.9669,1264,464,907,34,59580,2020.650024,-627.400024,2648.050049,-165,1229,1253,-274,178023.6719,28687.05078,3355.650146,54,78601.79688,15891.8252,16299,72926
"Microtus longicaudus",-124.2533,48.2656,-124.2533,48.2656,5,854,836,48,33486,1798.525024,68.099998,1730.425049,498,1273,1273,422,197481.75,33831.44922,2974.774902,69,98142.20313,10938.57422,10939,90501
"Microtus longicaudus",-121.9694,42.6936,-121.9694,42.6936,1280,638,1676,46,64452,2762.300049,-875.349976,3637.649902,-101,1442,1480,-193,49951.875,8410.075195,926.700012,63,23934.52539,3917.474854,3944,22772
"Microtus longicaudus",-118.71453,36.658459,-118.71453,36.658459,3014,183,1589,51,51342,1772.425049,-1329.5,3101.925049,-374,887,887,-404,130092.4297,29583.97461,490.799988,93,79307.04688,2972.975098,2973,72928
"Microtus longicaudus",-118.757427,36.579783,-118.757427,36.579783,2091,734,1343,43,60945,2475.774902,-586.75,3062.524902,84,1555,1575,35,107077,22530.84961,402.225006,87,60595.30078,2136.675049,3008,58461
"Microtus longicaudus",-122.320284,41.32009,-122.320284,41.32009,1094,1010,1557,46,62718,3038.475098,-330.524994,3369,237,1825,1846,237,100269.3516,20144.47461,478.125,79,52489.34766,3398.425049,3802,52489
"Microtus longicaudus",-119,37.61,-119,37.61,2686,485,1453,44,65089,2313.125,-983.75,3296.875,-282,1352,1362,-282,95554.92969,21022.52539,407.325012,96,58316.32813,2031.449951,2462,58316
"Microtus longicaudus",-118.99,37.63,-118.99,37.63,2449,485,1717,47,64199,2497.324951,-1088.574951,3585.899902,-288,1359,1359,-288,66800.125,13993.6748,547.325012,86,38236.14844,2464.125,2464,38236
"Microtus longicaudus",-119.001943,37.615228,-119.001943,37.615228,2686,512,1427,43,64405,2361.475098,-949.300049,3310.775146,-256,1377,1377,-256,80161.02344,17126.07422,488.549988,92,47730.92578,2265.725098,2266,47731
"Microtus longicaudus",-117.48083,38.93389,-117.48083,38.93389,2060,597,1908,45,74515,2905.899902,-1263.449951,4169.349609,506,1537,1610,-331,20247.125,2169.600098,1172.400024,17,6132.325195,4139.875,4673,5041
"Microtus longicaudus",-120.377881,41.451324,-120.377881,41.451324,1516,846,1516,41,72506,2968.300049,-689.599976,3657.899902,74,1794,1813,-50,37950.55078,4752.25,785.349976,42,13440,3526.375,4241,13423
"Microtus longicaudus",-120.267567,41.334976,-120.267567,41.334976,2186,483,1200,36,71442,2417.199951,-908.625,3325.824951,-381,1425,1444,-381,67026.04688,10457.7002,1122.275024,54,29396.77539,4893.549805,6078,29397
"Microtus longicaudus",-120.1402,38.93886,-120.1402,38.93886,2380,525,1155,39,61605,2208.774902,-705.349976,2914.125,-170,1366,1380,-170,145136.1719,27385.40039,527.025024,81,75789.45313,3838.325195,4602,75789
"Microtus longicaudus",-117.785,46.1008,-117.785,46.1008,1731,432,995,33,66596,2197.125,-810.275024,3007.399902,-283,1328,1328,-382,130373.2734,20179.30078,2003.599976,60,58970.64844,9302.174805,9302,53288
"Microtus longicaudus",-115.22,40.81,-115.22,40.81,2071,685,1394,38,78040,2748.774902,-895.900024,3644.674805,-142,1693,1728,-280,42417.125,5732.600098,1558.724976,38,15515.4248,5323.524902,5688,14830
"Microtus longicaudus",-111.50333,39.13917,-111.50333,39.13917,2933,228,1307,39,71178,2054.199951,-1282.525024,3336.725098,-549,1193,1193,-643,74709.89844,10477.5,2378.75,34,26882.5,11636.32422,11636,23508
"Microtus longicaudus",-111.30488,39.69582,-111.30488,39.69582,2630,338,1488,40,73979,2366.300049,-1286.949951,3653.25,-460,1341,1341,-576,62021.02344,7396.125,2514.350098,28,21842.90039,10367.59961,10368,20266
"Microtus longicaudus",-115.5,40.16,-115.5,40.16,1865,786,1702,41,81161,3074.424805,-1068.75,4143.174805,-77,1800,1863,-248,30336.90039,3918.949951,1118.625,32,10128.15039,4184.700195,4554,9990
"Microtus longicaudus",-115.59,40.34,-115.59,40.34,1907,776,1465,38,81172,2945.074951,-897.5,3842.574951,618,1826,1867,-232,34722.44922,4602.549805,1234.25,34,12263.97461,4597.375,5136,9957
"Microtus longicaudus",-123.312592,47.52222,-123.312592,47.52222,848,770,820,36,50204,2080.550049,-181.050003,2261.600098,267,1412,1458,180,260686.3906,44137.02344,2736.550049,65,122964,15599.4502,19088,115195
"Microtus longicaudus",-110.76167,43.48,-110.76167,43.48,1902,328,1746,40,88656,2739.175049,-1591.349976,4330.524902,785,1377,1446,-849,39258.82422,4374.049805,2669.100098,14,11112.4502,8675.775391,9249,10247
"Microtus longicaudus",-118.08858,37.82444,-118.08858,37.82444,1498,1146,1844,43,81265,3440.949951,-753.625,4194.575195,662,589,2235,131,10946.09961,1137.074951,627.724976,20,3276.299805,2122.074951,2795,2754
"Microtus longicaudus",-118.96647,37.126209,-118.96647,37.126209,2560,481,1574,49,55711,2173.324951,-999.75,3173.074951,-170,1240,1240,-170,99576.45313,21763,190.450012,93,58547.875,1869.824951,1870,58548
"Microtus longicaudus",-118.7957,37.2177,-118.7957,37.2177,3352,23,1278,43,56549,1559.650024,-1391.849976,2951.5,-626,794,794,-630,106613.125,24575.29883,533.825012,95,65075.64844,2482.725098,2483,63140
"Microtus longicaudus",-109.85973,40.8745,-109.85973,40.8745,2635,160,1748,42,80187,2348.149902,-1760.625,4108.774902,49,-713,1224,-843,47635,5922.850098,2625.875,24,16159.65039,9273.599609,10828,9708
"Microtus longicaudus",-116.96972,34.21944,-116.96972,34.21944,2334,689,1586,49,58019,2441.274902,-757.924988,3199.199951,52,1466,1470,5,92341.35156,17955.40039,364.049988,82,51192.32813,4079.25,6270,48049
"Microtus longicaudus",-115.55,40.06,-115.55,40.06,2047,840,1440,37,82222,2984.100098,-848.450012,3832.550049,-39,1907,1940,-179,30096.94922,3797.274902,1120.849976,32,10046.25,4173.850098,4544,9744
"Microtus longicaudus",-115.53,40.07,-115.53,40.07,1832,776,1706,41,81419,3072.574951,-1058.425049,4131,-85,1796,1858,-259,29209.65039,3427.975098,1108.575073,30,9493.299805,4164.424805,4531,9065
"Microtus longicaudus",-115.11,40.72,-115.11,40.72,2113,667,1376,37,77829,2712.574951,-909.299988,3621.875,-159,1676,1709,-293,40397.19922,5758.899902,1519.025024,38,14985.59961,4954.75,5522,14667
"Microtus longicaudus",-115.07,40.91,-115.07,40.91,2021,739,1421,38,79694,2827.375,-878.175049,3705.550049,-255,1765,1798,-255,44516.94922,6228.824707,1465.875,41,16987.44922,5114.5,5576,16987
"Microtus longicaudus",-115.48,41.79,-115.48,41.79,2477,273,1106,33,73720,2194.574951,-1102.625,3297.199951,-509,1254,1266,-603,69749.39844,9315,1843.474976,43,26069.52539,6465.274902,8172,23506
